Cluster,Income,Recency,Customer_Age,Tenure_days,TotalSpend,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response
0,35483.14,49.6,53.73,313.15,99.11,43.76,5.02,22.96,7.0,5.08,15.29,1.98,2.09,3.24,6.36,0.0,0.08
1,57466.03,47.46,60.0,416.67,730.39,461.01,20.51,137.56,28.93,22.09,60.28,3.84,6.4,7.68,5.84,0.0,0.15
2,77123.08,49.81,56.5,357.59,1394.15,611.74,70.69,458.54,101.82,72.13,79.22,1.36,5.25,8.41,2.87,0.0,0.27
3,45242.29,53.05,59.9,422.38,376.43,169.0,24.19,112.48,25.76,17.52,27.48,2.33,3.62,5.24,5.81,1.0,0.14
